Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,Type
,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
QOZ,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IAF,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IGB,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IHD,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
ILB,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
ILC,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IOO,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IOZ,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IVE,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
RCB,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
RDV,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
SFY,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
STW,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
SYI,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
ETF,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
MVW,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
VAF,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
VAS,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
VEU,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
VGB,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
VGS,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
VHY,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
VLC,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
AFI,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
ARG,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
BKI,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
DJW,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
DUI,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
HHV,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
MIR,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
MLT,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
PMC,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
WHF,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
QUS,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IEU,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IHK,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IJH,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IJP,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IJR,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IRU,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
ISG,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IVV,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IXI,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IXJ,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
OZF,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
OZR,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
SLF,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
UBE,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
VAP,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
VTS,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
MFF,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
NDQ,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
QFN,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
QRE,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
IXP,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
MGE,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
SPY,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
GDX,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
MVA,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
MVB,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
BEAR,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
,50,0.1,0,0,0.01,0.01,0,1,1,0.02,,0
